model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.6756938906174531,0.11947156806433085,0.7455197132616488,0.20594059405940593,0.7756548420448035
DecisionTree,0.8431824053377065,0.11932544076313772,0.2789725209080048,0.16715385074270717,0.6324424920090309
RandomForest,0.8434407539285834,0.12562982868659725,0.29788928713659896,0.17672770230360307,0.7231706839528123
LinearSVM,0.6696620126478484,0.11841652323580035,0.7534846674631621,0.2046677664494145,0.7757655435777835
KNN,0.7163107821222775,0.11977600721587492,0.6346077260055755,0.2015175466329434,0.7436147838386762
XGBoost,0.7729003560717536,0.13237855622217923,0.5448028673835126,0.21300116776956013,0.7585250266365637
LightGBM,0.7790894897053703,0.134551080501073,0.5368379131819992,0.2151721936230496,0.7590241376133218
StackingEnsemble,0.8449234501892684,0.1306139613120269,0.3092393468737555,0.1836565752128666,0.733236733196861
MLP,0.7531086075010952,0.1334514957634446,0.6146953405017921,0.21929388363998012,0.7647838161574223
